13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;EPSY
3360  ;-5,42387  ;4,98255  ;0,160152  ;-3,42954e-07
2984  ;-4,29558  ;5,15974  ;0,15832  ;-3,42977e-07
4717  ;-4,29037  ;4,79237  ;0,15832  ;-3,42978e-07
3178  ;-4,94017  ;4,48598  ;0,161495  ;-3,43049e-07
5379  ;-4,95204  ;5,50552  ;0,161547  ;-3,43069e-07
2020  ;-5,83092  ;4,98513  ;0,160152  ;-3,43172e-07
2979  ;-4,98824  ;5,89369  ;0,161547  ;-3,43240e-07
3752  ;-4,97664  ;4,10852  ;0,161495  ;-3,43279e-07
5302  ;-4,9858  ;7,07597  ;0,146508  ;-3,44637e-07
5303  ;-4,38101  ;6,20451  ;0,175078  ;-3,44713e-07
4774  ;-3,88794  ;4,30962  ;0,177839  ;-3,44915e-07
5058  ;-4,37722  ;3,74576  ;0,17728  ;-3,45058e-07
3987  ;-5,62963  ;3,83561  ;0,180734  ;-3,45160e-07
4973  ;-6,17599  ;5,62123  ;0,182511  ;-3,45278e-07
5312  ;-3,86676  ;5,67844  ;0,182439  ;-3,45279e-07
5195  ;-6,16045  ;4,36967  ;0,183896  ;-3,45325e-07
2257  ;-4,38659  ;6,60742  ;0,175078  ;-3,45388e-07
4965  ;-3,45769  ;4,36007  ;0,177839  ;-3,45545e-07
5304  ;-5,62707  ;6,19348  ;0,187476  ;-3,45727e-07
5060  ;-4,38899  ;3,34607  ;0,17728  ;-3,45821e-07
3449  ;-5,61961  ;3,40743  ;0,180734  ;-3,45844e-07
4767  ;-5,01828  ;2,84891  ;0,161637  ;-3,45866e-07
4419  ;-3,43141  ;5,63039  ;0,182439  ;-3,45942e-07
3340  ;-6,60579  ;5,61426  ;0,182511  ;-3,45979e-07
2327  ;-6,59623  ;4,39012  ;0,183896  ;-3,46077e-07
2334  ;-4,9858  ;7,50899  ;0,146508  ;-3,46389e-07
5305  ;-5,61  ;6,63398  ;0,187476  ;-3,46444e-07
3554  ;-3,00476  ;4,98282  ;0,176518  ;-3,46594e-07
4522  ;-6,82203  ;3,15994  ;0,156848  ;-3,46661e-07
2962  ;-6,79762  ;6,84779  ;0,156316  ;-3,46758e-07
4966  ;-3,80623  ;2,98008  ;0,177492  ;-3,47455e-07
3128  ;-6,1339  ;2,99486  ;0,1824  ;-3,47637e-07
5055  ;-3,35444  ;3,18502  ;0,177492  ;-3,47657e-07
4687  ;-6,99108  ;6,14101  ;0,183141  ;-3,47804e-07
4726  ;-3,01569  ;3,85734  ;0,187306  ;-3,48050e-07
3858  ;-3,85658  ;6,99427  ;0,187349  ;-3,48108e-07
4693  ;-5,01801  ;2,41358  ;0,161637  ;-3,48116e-07
5528  ;-7,09622  ;5,04533  ;0,194533  ;-3,48232e-07
1976  ;-3,40577  ;6,78915  ;0,187349  ;-3,48237e-07
4982  ;-6,10798  ;7,01037  ;0,191225  ;-3,48385e-07
2650  ;-7,07357  ;7,13618  ;0,156316  ;-3,48500e-07
4521  ;-7,10997  ;2,88499  ;0,156848  ;-3,48529e-07
4518  ;-7,02875  ;3,88031  ;0,193998  ;-3,48550e-07
1855  ;-2,88207  ;7,1163  ;0,156322  ;-3,48659e-07
2815  ;-2,2976  ;4,88867  ;0,164191  ;-3,49364e-07
2826  ;-4,07895  ;2,25277  ;0,157616  ;-3,49625e-07
3452  ;-6,12747  ;2,26508  ;0,157103  ;-3,49765e-07
3457  ;-2,26147  ;3,85973  ;0,15712  ;-3,50025e-07
5356  ;-2,8239  ;2,87287  ;0,172823  ;-3,50203e-07
2948  ;-6,98547  ;7,56941  ;0,156316  ;-3,50233e-07
1538  ;-7,02716  ;2,44946  ;0,156848  ;-3,50299e-07
2657  ;-7,54236  ;5,04694  ;0,194533  ;-3,50308e-07
4383  ;-2,24509  ;7,06665  ;0,137055  ;-3,50368e-07
4378  ;-2,96279  ;7,55156  ;0,156322  ;-3,50510e-07
27  ;-2,98973  ;6,13723  ;0,225959  ;-3,51043e-07
4768  ;-4,46229  ;2,02598  ;0,157616  ;-3,51354e-07
2814  ;-3,10501  ;2,25325  ;0,154299  ;-3,51538e-07
2789  ;-2,05862  ;4,5045  ;0,164191  ;-3,51800e-07
2333  ;-7,7747  ;2,92896  ;0,154345  ;-3,52227e-07
2827  ;-2,39026  ;2,96307  ;0,172823  ;-3,52287e-07
2805  ;-6,4977  ;2,03458  ;0,157103  ;-3,52367e-07
4189  ;-3,47191  ;2,03982  ;0,154299  ;-3,52589e-07
2816  ;-2,0226  ;3,49443  ;0,15712  ;-3,52932e-07
3424  ;-7,75992  ;7,13245  ;0,161006  ;-3,53006e-07
4754  ;-6,13176  ;7,72831  ;0,198629  ;-3,53184e-07
5506  ;-4,61362  ;5,34299  ;0,319867  ;-3,53531e-07
5556  ;-4,6076  ;4,62461  ;0,319815  ;-3,53560e-07
2987  ;-3,85768  ;7,74205  ;0,203933  ;-3,53569e-07
6353  ;-5,2483  ;4,66997  ;0,321647  ;-3,53581e-07
4681  ;-7,72251  ;3,88681  ;0,208305  ;-3,53582e-07
5566  ;-5,25497  ;5,32215  ;0,321699  ;-3,53593e-07
4384  ;-2,03569  ;7,46191  ;0,137055  ;-3,53876e-07
2255  ;-2,0457  ;5,49484  ;0,194587  ;-3,53946e-07
4828  ;-7,95308  ;4,49093  ;0,193712  ;-3,54048e-07
2280  ;-7,73386  ;6,1434  ;0,209082  ;-3,54140e-07
5186  ;-4,50391  ;8,03653  ;0,185593  ;-3,54300e-07
