13:24; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;GMYZ
2230  ;-0,216506  ;5,5  ;0,216506  ;3,62794e-07
1842  ;-0,216506  ;4,5  ;0,216506  ;3,61402e-07
1771  ;-0,214818  ;8,51849  ;0,211437  ;3,60989e-07
2234  ;-0,216506  ;6,5  ;0,216506  ;3,60640e-07
2777  ;-0,218045  ;7,50255  ;0,216506  ;3,59613e-07
3811  ;-0,216506  ;3,5  ;0,216506  ;3,57856e-07
3693  ;-0,211134  ;1,51166  ;0,217352  ;3,53402e-07
3524  ;-0,216506  ;2,49281  ;0,227491  ;3,53275e-07
6720  ;-0,25  ;0,25  ;0,25  ;3,35279e-07
3198  ;-0,439428  ;9,56505  ;0,1946  ;3,31457e-07
4435  ;-9,75  ;9,75  ;0,25  ;-3,31438e-07
6381  ;-9,573  ;0,458811  ;0,183339  ;-3,36577e-07
4497  ;-9,78265  ;8,49165  ;0,217352  ;-3,54888e-07
3428  ;-9,77251  ;7,51438  ;0,227491  ;-3,57524e-07
4669  ;-9,78349  ;6,5  ;0,216506  ;-3,60478e-07
3946  ;-9,78349  ;2,5  ;0,216506  ;-3,62212e-07
3427  ;-9,78349  ;5,5  ;0,216506  ;-3,62242e-07
2291  ;-9,78884  ;1,51507  ;0,211438  ;-3,63605e-07
4390  ;-9,78349  ;3,5  ;0,216506  ;-3,65279e-07
1932  ;-9,78349  ;4,5  ;0,216506  ;-3,65392e-07
