13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SZ (N/m^2)
26  ;0  ;0  ;1  ;1,67421e+04
44  ;-10  ;0  ;1  ;1,55874e+04
267  ;-10  ;10  ;1  ;1,52068e+04
151  ;0  ;10  ;1  ;1,48683e+04
169  ;0  ;1,51671  ;0,86941  ;9,03298e+03
175  ;0  ;8,46951  ;0,845747  ;8,51755e+03
166  ;0  ;6,5  ;0,866025  ;8,31465e+03
172  ;0  ;5,5  ;0,866025  ;8,26014e+03
392  ;-10  ;8,48329  ;0,86941  ;7,92386e+03
171  ;0  ;3,5  ;0,866025  ;7,72743e+03
391  ;-10  ;1,5305  ;0,845754  ;7,32398e+03
174  ;0  ;7,5  ;0,866025  ;7,19235e+03
180  ;0  ;4,5  ;0,866025  ;6,97179e+03
394  ;-10  ;5,5  ;0,866025  ;6,69695e+03
398  ;-10  ;2,5  ;0,866025  ;6,61096e+03
395  ;-10  ;4,5  ;0,866025  ;6,53551e+03
6487  ;-10  ;9,57036  ;1,19776  ;6,48694e+03
397  ;-10  ;3,5  ;0,866025  ;6,39260e+03
393  ;-10  ;6,5  ;0,866025  ;6,37613e+03
170  ;0  ;2,47125  ;0,909964  ;6,30172e+03
400  ;-10  ;7,52875  ;0,909964  ;6,18215e+03
9836  ;0  ;1,18799  ;1,13247  ;6,06833e+03
7679  ;-0,378856  ;9,6301  ;0,8892  ;5,91480e+03
2277  ;-9,64601  ;0,417622  ;0,866678  ;5,86227e+03
9523  ;0  ;0,429637  ;1,19776  ;5,74853e+03
7031  ;0  ;5,25  ;1,29904  ;4,77858e+03
5490  ;-10  ;0,441206  ;1,19503  ;4,73111e+03
8717  ;-10  ;7,01438  ;0,887995  ;4,65732e+03
6118  ;0  ;8,79355  ;1,1179  ;4,47001e+03
6305  ;-10  ;1,20645  ;1,11791  ;4,42017e+03
9674  ;-10  ;3  ;0,866025  ;4,27253e+03
2285  ;0  ;6,25  ;1,29904  ;4,24927e+03
10728  ;-10  ;8,00602  ;0,889687  ;4,11662e+03
6485  ;-9,57043  ;10  ;1,19783  ;3,81223e+03
9081  ;0  ;9,5588  ;1,19503  ;3,80024e+03
10036  ;-10  ;8,81201  ;1,13247  ;3,79183e+03
4950  ;-10  ;4  ;0,866025  ;3,65617e+03
6946  ;-10  ;5  ;0,866025  ;3,51983e+03
7748  ;0  ;7,98475  ;0,855886  ;3,06947e+03
10034  ;0  ;5,75  ;1,29904  ;2,97224e+03
10033  ;0  ;6  ;0,866025  ;2,94440e+03
10640  ;-10  ;3,25  ;1,29904  ;2,93836e+03
6276  ;-10  ;4,25  ;1,29904  ;2,88161e+03
3519  ;-10  ;5,25  ;1,29904  ;2,84837e+03
8013  ;-10  ;2,01525  ;0,85589  ;2,79201e+03
10032  ;0  ;5  ;0,866025  ;2,76416e+03
9520  ;-0,434674  ;0  ;1,25845  ;2,75215e+03
5974  ;-10  ;1,71594  ;1,32904  ;2,74982e+03
6116  ;0  ;8,28409  ;1,329  ;2,73489e+03
5491  ;-10  ;2,75  ;1,29904  ;2,66542e+03
8595  ;0  ;3,23567  ;1,30249  ;2,62551e+03
2287  ;0  ;6,75  ;1,29904  ;2,52662e+03
561  ;-5,14457  ;4,98301  ;10  ;2,42894e+03
9012  ;-4,77756  ;4,67826  ;10  ;2,42297e+03
7269  ;-4,76626  ;5,28007  ;10  ;2,42101e+03
192  ;0  ;0,859274  ;1,39553  ;2,41915e+03
6520  ;-5,00013  ;4,31593  ;10  ;2,41686e+03
7271  ;-4,97926  ;5,653  ;10  ;2,41543e+03
6922  ;-5,36714  ;4,62068  ;10  ;2,41536e+03
7270  ;-5,35756  ;5,35594  ;10  ;2,41241e+03
10663  ;-4,39925  ;4,97532  ;10  ;2,39411e+03
6521  ;-4,70477  ;3,92344  ;10  ;2,36378e+03
6519  ;-5,29435  ;3,86586  ;10  ;2,35789e+03
7737  ;-4,69109  ;6,04773  ;10  ;2,35765e+03
8261  ;-5,28239  ;6,1236  ;10  ;2,35566e+03
558  ;-4,41055  ;4,37351  ;10  ;2,34341e+03
559  ;-4,38796  ;5,57713  ;10  ;2,33569e+03
6484  ;-10  ;10  ;1,5  ;2,32589e+03
560  ;-5,57055  ;5,72886  ;10  ;2,32424e+03
557  ;-5,5897  ;4,25835  ;10  ;2,32411e+03
6921  ;-5,7521  ;4,99108  ;10  ;2,31858e+03
556  ;-4,999  ;3,47337  ;10  ;2,31483e+03
554  ;-4,99422  ;6,51834  ;10  ;2,31161e+03
11334  ;-10  ;3,75  ;1,29904  ;2,29803e+03
9996  ;0  ;4,75  ;1,29904  ;2,27527e+03
415  ;-10  ;9,14073  ;1,39553  ;2,27000e+03
6822  ;-4,72423  ;6,92926  ;10  ;2,23285e+03
6821  ;-4,34159  ;6,41503  ;10  ;2,22874e+03
1647  ;-5,27323  ;3,06698  ;10  ;2,22871e+03
8630  ;-5,26979  ;6,9294  ;10  ;2,22689e+03
8570  ;-5,96509  ;5,364  ;10  ;2,22609e+03
6776  ;-5,65603  ;3,57629  ;10  ;2,22477e+03
8631  ;-5,65174  ;6,41862  ;10  ;2,22296e+03
9034  ;-4,34276  ;3,5791  ;10  ;2,22171e+03
6923  ;-5,97466  ;4,62874  ;10  ;2,21841e+03
9014  ;-4,72715  ;3,06708  ;10  ;2,21720e+03
10662  ;-3,96346  ;4,68336  ;10  ;2,19068e+03
8519  ;-3,95217  ;5,28517  ;10  ;2,18968e+03
7526  ;-4,04854  ;4,02917  ;10  ;2,18745e+03
8249  ;-4,03846  ;5,94442  ;10  ;2,18698e+03
8155  ;-5,95139  ;3,96878  ;10  ;2,18494e+03
9162  ;-5,93991  ;6,02388  ;10  ;2,18371e+03
5769  ;0  ;7,79934  ;1,33914  ;2,18067e+03
9166  ;-4,9998  ;7,34032  ;10  ;2,16132e+03
9015  ;-5,00138  ;2,66069  ;10  ;2,15513e+03
205  ;0  ;5  ;1,73205  ;2,11024e+03
399  ;-10  ;0,882413  ;1,39006  ;2,10016e+03
531  ;-5,54746  ;2,66059  ;10  ;2,09942e+03
542  ;-5,54536  ;7,34046  ;10  ;2,09220e+03
532  ;-4,4553  ;2,66078  ;10  ;2,09027e+03
541  ;-4,45423  ;7,34019  ;10  ;2,08923e+03
5493  ;-10  ;2,20069  ;1,33917  ;2,08045e+03
6820  ;-4,07159  ;6,82595  ;10  ;2,07066e+03
6775  ;-5,93027  ;3,1699  ;10  ;2,06723e+03
5411  ;-4,07091  ;3,17281  ;10  ;2,06716e+03
6299  ;-5,92731  ;6,82968  ;10  ;2,06662e+03
6274  ;-10  ;4,75  ;1,29904  ;2,06552e+03
9202  ;-6,33444  ;5,65902  ;10  ;2,05706e+03
8259  ;-5,27268  ;7,8042  ;10  ;2,05566e+03
9013  ;-5,13658  ;4,67151  ;9,6965  ;2,05310e+03
9165  ;-4,72712  ;7,80407  ;10  ;2,05279e+03
8975  ;-5,27373  ;2,19632  ;10  ;2,05255e+03
8003  ;-6,33634  ;4,33918  ;10  ;2,05040e+03
553  ;-6,35962  ;4,99914  ;10  ;2,04760e+03
9346  ;-4,72765  ;2,19642  ;10  ;2,03958e+03
10670  ;-4,837  ;4,97938  ;9,67952  ;2,03293e+03
6523  ;-4,76957  ;4,36676  ;9,6965  ;2,02677e+03
8518  ;-3,60266  ;5,65246  ;10  ;2,02329e+03
10671  ;-3,60145  ;4,33902  ;10  ;2,01870e+03
6522  ;-5,35914  ;4,30918  ;9,6965  ;2,01324e+03
1824  ;-5,06379  ;3,91669  ;9,6965  ;2,00678e+03
6925  ;-5,42405  ;4,96538  ;9,6628  ;2,00435e+03
10665  ;-4,46998  ;4,67463  ;9,67952  ;2,00127e+03
10666  ;-4,45869  ;5,27644  ;9,67952  ;1,99586e+03
514  ;-5  ;8,26795  ;10  ;1,98297e+03
551  ;-3,68652  ;3,68483  ;10  ;1,98221e+03
552  ;-6,31307  ;3,67921  ;10  ;1,98208e+03
550  ;-3,68895  ;6,31172  ;10  ;1,98131e+03
555  ;-3,51637  ;4,99321  ;10  ;1,98061e+03
7273  ;-5,15281  ;5,33667  ;9,62215  ;1,97940e+03
5767  ;0  ;7,25  ;1,29904  ;1,97751e+03
8842  ;-4,22765  ;2,19642  ;10  ;1,96961e+03
549  ;-6,30926  ;6,3189  ;10  ;1,96336e+03
8974  ;-5,77373  ;2,19632  ;10  ;1,95923e+03
526  ;-5  ;1,73205  ;10  ;1,95149e+03
7272  ;-4,7745  ;5,63373  ;9,62215  ;1,94811e+03
6778  ;-5,77268  ;7,8042  ;10  ;1,94788e+03
8571  ;-5,63704  ;5,3383  ;9,6628  ;1,94707e+03
6926  ;-5,64662  ;4,60304  ;9,6628  ;1,94619e+03
7274  ;-5,3658  ;5,7096  ;9,62215  ;1,94018e+03
5412  ;-3,95935  ;2,65403  ;10  ;1,93897e+03
9096  ;-3,96714  ;7,34594  ;10  ;1,93660e+03
6301  ;-6,04104  ;7,34666  ;10  ;1,93482e+03
8888  ;0  ;7  ;0,866025  ;1,92907e+03
7738  ;-5,07763  ;6,10433  ;9,62215  ;1,92806e+03
5814  ;-5,5  ;8,26795  ;10  ;1,92743e+03
9097  ;-4,22712  ;7,80407  ;10  ;1,92719e+03
