13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
8  ;-10  ;10  ;10  ;7,46153e-07
5238  ;-9,5  ;10  ;10  ;7,46070e-07
6  ;0  ;10  ;10  ;7,46051e-07
10535  ;-0,5  ;10  ;10  ;7,45972e-07
276  ;-9  ;10  ;10  ;7,45781e-07
268  ;-1  ;10  ;10  ;7,45688e-07
11059  ;-8,5  ;10  ;10  ;7,45090e-07
10527  ;-1,5  ;10  ;10  ;7,45031e-07
275  ;-8  ;10  ;10  ;7,44166e-07
269  ;-2  ;10  ;10  ;7,44116e-07
11117  ;-7,5  ;10  ;10  ;7,43116e-07
8782  ;-2,5  ;10  ;10  ;7,43081e-07
11060  ;-8,80224  ;10  ;9,57036  ;7,42376e-07
10880  ;-10  ;10  ;9,5  ;7,42344e-07
10405  ;-1,1981  ;10  ;9,57038  ;7,42303e-07
10881  ;-9,5  ;10  ;9,5  ;7,42298e-07
8087  ;0  ;10  ;9,5  ;7,42232e-07
10404  ;-0,5  ;10  ;9,5  ;7,42212e-07
274  ;-7  ;10  ;10  ;7,42027e-07
270  ;-3  ;10  ;10  ;7,42012e-07
11061  ;-8,30224  ;10  ;9,57036  ;7,41750e-07
6133  ;-1,6981  ;10  ;9,57038  ;7,41699e-07
9746  ;-3,5  ;10  ;10  ;7,41142e-07
10890  ;-6,5  ;10  ;10  ;7,41118e-07
2409  ;-7,7551  ;10  ;9,56391  ;7,40955e-07
7514  ;-2,24459  ;10  ;9,56391  ;7,40925e-07
271  ;-4  ;10  ;10  ;7,40401e-07
273  ;-6  ;10  ;10  ;7,40356e-07
11118  ;-7,2551  ;10  ;9,56391  ;7,40185e-07
5809  ;-2,74459  ;10  ;9,56391  ;7,40158e-07
8117  ;-4,5  ;10  ;10  ;7,39957e-07
8145  ;-5,5  ;10  ;10  ;7,39942e-07
272  ;-5  ;10  ;10  ;7,39744e-07
5807  ;-3,25  ;10  ;9,56699  ;7,39509e-07
10891  ;-6,75  ;10  ;9,56699  ;7,39496e-07
300  ;-8,60447  ;10  ;9,14073  ;7,39339e-07
11137  ;-9,30224  ;10  ;9,07036  ;7,39301e-07
301  ;-1,3962  ;10  ;9,14075  ;7,39282e-07
2734  ;-0,698102  ;10  ;9,07038  ;7,39233e-07
259  ;-10  ;10  ;9  ;7,38914e-07
