13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UY (mm)
1  ;-10  ;0  ;0  ;0,00000e+00
2  ;0  ;0  ;0  ;0,00000e+00
8552  ;-5,5  ;8,26795  ;0  ;0,00000e+00
8551  ;-5,75  ;8,70096  ;0  ;0,00000e+00
5  ;0  ;10  ;0  ;0,00000e+00
8575  ;-6,76049  ;7,80981  ;0  ;0,00000e+00
7  ;-10  ;10  ;0  ;0,00000e+00
8577  ;-5,5  ;10  ;0  ;0,00000e+00
9  ;-9  ;0  ;0  ;0,00000e+00
10  ;-8  ;0  ;0  ;0,00000e+00
11  ;-7  ;0  ;0  ;0,00000e+00
12  ;-6  ;0  ;0  ;0,00000e+00
13  ;-5  ;0  ;0  ;0,00000e+00
14  ;-4  ;0  ;0  ;0,00000e+00
15  ;-3  ;0  ;0  ;0,00000e+00
16  ;-2  ;0  ;0  ;0,00000e+00
17  ;-1  ;0  ;0  ;0,00000e+00
11466  ;0  ;0,5  ;0  ;0,00000e+00
8578  ;-5,25  ;9,56699  ;0  ;0,00000e+00
11464  ;-0,5  ;0  ;0  ;0,00000e+00
8579  ;-5,75  ;9,56699  ;0  ;0,00000e+00
8580  ;-4,22586  ;7,80422  ;0  ;0,00000e+00
8493  ;-3,23565  ;1,30243  ;0  ;0,00000e+00
8492  ;-2,71418  ;1,32752  ;0  ;0,00000e+00
8491  ;-2,97853  ;0,89111  ;0  ;0,00000e+00
8603  ;-6,83147  ;6,42363  ;0  ;0,00000e+00
8604  ;-6,41575  ;6,83195  ;0  ;0,00000e+00
1752  ;-3,18913  ;5,92752  ;0  ;0,00000e+00
1751  ;-3,16937  ;6,41919  ;0  ;0,00000e+00
1750  ;-2,66821  ;6,02834  ;0  ;0,00000e+00
8634  ;-5,30565  ;6,05702  ;0  ;0,00000e+00
8635  ;-5,02035  ;5,6535  ;0  ;0,00000e+00
8636  ;-4,7147  ;6,13238  ;0  ;0,00000e+00
8640  ;-4,75  ;8,70096  ;0  ;0,00000e+00
8641  ;-4,5  ;8,26795  ;0  ;0,00000e+00
8644  ;-4,03476  ;5,36387  ;0  ;0,00000e+00
8645  ;-4,64229  ;5,35603  ;0  ;0,00000e+00
8646  ;-4,24766  ;4,99104  ;0  ;0,00000e+00
8652  ;-3,95828  ;7,34662  ;0  ;0,00000e+00
8373  ;-2,13222  ;2,79288  ;0  ;0,00000e+00
8372  ;-2,59044  ;3,03306  ;0  ;0,00000e+00
8370  ;-4,22782  ;2,19634  ;0  ;0,00000e+00
8369  ;-3,96114  ;2,64992  ;0  ;0,00000e+00
8368  ;-3,73332  ;2,18563  ;0  ;0,00000e+00
8344  ;-2,19027  ;3,24018  ;0  ;0,00000e+00
8343  ;-2,19027  ;3,74018  ;0  ;0,00000e+00
8341  ;-2,68775  ;4,99893  ;0  ;0,00000e+00
8338  ;-3,21897  ;2,18902  ;0  ;0,00000e+00
8337  ;-2,99952  ;2,61249  ;0  ;0,00000e+00
8336  ;-2,75185  ;2,16231  ;0  ;0,00000e+00
8317  ;-6,51437  ;1,73539  ;0  ;0,00000e+00
8316  ;-6,26753  ;2,18969  ;0  ;0,00000e+00
8309  ;-4,5  ;1,73205  ;0  ;0,00000e+00
8730  ;-5,5  ;0  ;0  ;0,00000e+00
8731  ;-5,25  ;0,433013  ;0  ;0,00000e+00
8308  ;-4,25  ;1,29904  ;0  ;0,00000e+00
8307  ;-5,25  ;1,29904  ;0  ;0,00000e+00
8306  ;-4,75  ;1,29904  ;0  ;0,00000e+00
8288  ;-2,20979  ;4,2306  ;0  ;0,00000e+00
8287  ;-2,20979  ;4,7306  ;0  ;0,00000e+00
8285  ;-1,73205  ;4,5  ;0  ;0,00000e+00
3928  ;-1,69501  ;0,441227  ;0  ;0,00000e+00
8269  ;-0,43609  ;7,7551  ;0  ;0,00000e+00
8267  ;-0,43609  ;7,2551  ;0  ;0,00000e+00
8901  ;-2,17219  ;2,24352  ;0  ;0,00000e+00
8902  ;-2,39164  ;1,82006  ;0  ;0,00000e+00
8266  ;0  ;7,5  ;0  ;0,00000e+00
8921  ;-6,04143  ;2,65404  ;0  ;0,00000e+00
8922  ;-5,93081  ;3,17314  ;0  ;0,00000e+00
8923  ;-6,42445  ;3,16643  ;0  ;0,00000e+00
9004  ;-4,99822  ;4,31643  ;0  ;0,00000e+00
9005  ;-4,63187  ;4,62131  ;0  ;0,00000e+00
9006  ;-5,22154  ;4,67833  ;0  ;0,00000e+00
9047  ;-2,98562  ;9,11201  ;0  ;0,00000e+00
9048  ;-0,5  ;10  ;0  ;0,00000e+00
9049  ;-0,5  ;9,5  ;0  ;0,00000e+00
9050  ;0  ;9,5  ;0  ;0,00000e+00
7978  ;-7,33075  ;5,00275  ;0  ;0,00000e+00
7977  ;-7,79948  ;4,72763  ;0  ;0,00000e+00
7962  ;-8,61582  ;8,33621  ;0  ;0,00000e+00
