13:23; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: 
Referencia seleccionada: Todos
Elemento  ;X (mm)  ;Y (mm)  ;Z (mm)  ;GMXY
1952  ;-4,5  ;9,78349  ;0,216506  ;3,65980e-07
767  ;-3,5  ;9,78349  ;0,216506  ;3,64124e-07
2949  ;-5,5  ;9,78349  ;0,216506  ;3,60633e-07
2243  ;-1,50835  ;9,78265  ;0,217352  ;3,58857e-07
2520  ;-2,48562  ;9,77251  ;0,227491  ;3,57679e-07
2305  ;-6,5  ;9,78349  ;0,216506  ;3,56491e-07
4182  ;-7,50986  ;9,78195  ;0,227491  ;3,54291e-07
3839  ;-8,52218  ;9,78518  ;0,217341  ;3,50733e-07
4435  ;-9,75  ;9,75  ;0,25  ;3,35618e-07
3198  ;-0,439428  ;9,56505  ;0,1946  ;3,32623e-07
5943  ;-6,03971  ;9,41128  ;0,236156  ;3,11042e-07
1455  ;-3,99525  ;9,34151  ;0,173704  ;3,10093e-07
4499  ;-9,14867  ;9,4087  ;0,217353  ;3,04764e-07
6826  ;-5,05015  ;9,34997  ;0,255785  ;3,03267e-07
3549  ;-7,01603  ;9,37803  ;0,269384  ;2,98201e-07
5159  ;-2,9824  ;9,28394  ;0,15158  ;2,97992e-07
7406  ;-1,95399  ;9,26591  ;0,172904  ;2,92701e-07
4201  ;-0,837426  ;0,738585  ;0,156442  ;-2,87840e-07
6134  ;-1,94885  ;0,610456  ;0,293397  ;-2,90908e-07
4490  ;-6,04426  ;0,652588  ;0,28945  ;-2,94307e-07
1600  ;-9,22536  ;0,679455  ;0,183339  ;-2,94837e-07
4168  ;-7,01228  ;0,589919  ;0,288823  ;-2,95745e-07
4696  ;-4,93138  ;0,603863  ;0,287148  ;-2,97991e-07
3453  ;-2,96786  ;0,664882  ;0,250687  ;-2,98288e-07
4403  ;-3,96943  ;0,691175  ;0,202094  ;-3,02715e-07
6381  ;-9,573  ;0,458811  ;0,183339  ;-3,27134e-07
6720  ;-0,25  ;0,25  ;0,25  ;-3,39107e-07
3699  ;-2,48671  ;0,229049  ;0,218044  ;-3,55394e-07
4526  ;-7,51166  ;0,22905  ;0,216506  ;-3,55421e-07
4690  ;-6,5  ;0,216506  ;0,216506  ;-3,56153e-07
5120  ;-1,44638  ;0,220613  ;0,214833  ;-3,57582e-07
3509  ;-4,5  ;0,216506  ;0,216506  ;-3,59700e-07
4204  ;-3,5  ;0,216506  ;0,216506  ;-3,62085e-07
4531  ;-8,51995  ;0,220644  ;0,211084  ;-3,64082e-07
3025  ;-5,5  ;0,216506  ;0,216506  ;-3,72089e-07
