13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SY (N/m^2)
6484  ;-10  ;10  ;1,5  ;-8,40213e+04
10220  ;0  ;0  ;2,5  ;-8,44027e+04
7914  ;-10  ;10  ;2,5  ;-8,45335e+04
1926  ;-10  ;0  ;2,5  ;-8,45391e+04
6991  ;0  ;10  ;2,5  ;-8,45453e+04
266  ;-10  ;10  ;2  ;-8,52359e+04
9519  ;0  ;0  ;1,5  ;-8,53392e+04
265  ;-10  ;10  ;3  ;-8,57261e+04
42  ;-10  ;0  ;3  ;-8,57322e+04
150  ;0  ;10  ;2  ;-8,57393e+04
24  ;0  ;0  ;3  ;-8,57636e+04
149  ;0  ;10  ;3  ;-8,57983e+04
43  ;-10  ;0  ;2  ;-8,58036e+04
25  ;0  ;0  ;2  ;-8,58358e+04
9578  ;0  ;0  ;3,5  ;-8,66243e+04
5510  ;-10  ;0  ;3,5  ;-8,67282e+04
6184  ;-10  ;10  ;3,5  ;-8,67316e+04
6082  ;0  ;10  ;3,5  ;-8,67588e+04
9006  ;-5,22154  ;4,67833  ;0  ;-8,70546e+04
9290  ;-5,23324  ;5,28067  ;0  ;-8,70625e+04
5488  ;-10  ;0  ;1,5  ;-8,70631e+04
646  ;-5,58789  ;4,37346  ;0  ;-8,70637e+04
650  ;-4,85519  ;4,98321  ;0  ;-8,70664e+04
648  ;-5,6113  ;5,57813  ;0  ;-8,70692e+04
9005  ;-4,63187  ;4,62131  ;0  ;-8,70696e+04
8645  ;-4,64229  ;5,35603  ;0  ;-8,70700e+04
647  ;-4,40855  ;4,25941  ;0  ;-8,70816e+04
649  ;-4,4294  ;5,72886  ;0  ;-8,70861e+04
9004  ;-4,99822  ;4,31643  ;0  ;-8,71064e+04
8635  ;-5,02035  ;5,6535  ;0  ;-8,71121e+04
6375  ;-5,59959  ;4,9758  ;0  ;-8,71171e+04
8644  ;-4,03476  ;5,36387  ;0  ;-8,71202e+04
10943  ;-4,02434  ;4,62914  ;0  ;-8,71267e+04
8634  ;-5,30565  ;6,05702  ;0  ;-8,71288e+04
642  ;-3,64013  ;4,99888  ;0  ;-8,71306e+04
6374  ;-6,03565  ;4,6835  ;0  ;-8,71363e+04
6376  ;-6,04735  ;5,28583  ;0  ;-8,71428e+04
8646  ;-4,24766  ;4,99104  ;0  ;-8,71445e+04
9923  ;-4,70482  ;3,86639  ;0  ;-8,71469e+04
8636  ;-4,7147  ;6,13238  ;0  ;-8,71530e+04
9924  ;-5,29449  ;3,92342  ;0  ;-8,71540e+04
644  ;-6,48341  ;4,99354  ;0  ;-8,71606e+04
11129  ;-5,96091  ;5,94518  ;0  ;-8,71691e+04
645  ;-5,00109  ;3,47338  ;0  ;-8,71739e+04
10983  ;-4,04813  ;3,96885  ;0  ;-8,71764e+04
643  ;-5  ;6,5359  ;0  ;-8,71787e+04
7893  ;-5,95086  ;4,0295  ;0  ;-8,71790e+04
11308  ;-4,05985  ;6,02362  ;0  ;-8,71876e+04
639  ;-6,31052  ;6,31223  ;0  ;-8,71950e+04
620  ;-5,54779  ;2,66075  ;0  ;-8,72268e+04
638  ;-3,6903  ;6,31837  ;0  ;-8,72366e+04
10982  ;-3,66392  ;4,33859  ;0  ;-8,72435e+04
641  ;-6,31383  ;3,68554  ;0  ;-8,72459e+04
10668  ;-3,66521  ;5,65863  ;0  ;-8,72614e+04
7009  ;-4,34515  ;6,42714  ;0  ;-8,72788e+04
9252  ;-6,39697  ;5,65288  ;0  ;-8,72819e+04
9586  ;0  ;10  ;1,5  ;-8,72839e+04
640  ;-3,68772  ;3,67829  ;0  ;-8,72872e+04
11176  ;-4,3444  ;3,57584  ;0  ;-8,72878e+04
7218  ;-6,39862  ;4,33954  ;0  ;-8,72993e+04
11309  ;-5,65526  ;6,42406  ;0  ;-8,73042e+04
9431  ;-5,27444  ;3,06707  ;0  ;-8,73093e+04
9432  ;-5,65746  ;3,57946  ;0  ;-8,73151e+04
9251  ;-6,90695  ;5,27189  ;0  ;-8,73614e+04
10980  ;-4,72836  ;3,06701  ;0  ;-8,73667e+04
7219  ;-6,90721  ;4,72439  ;0  ;-8,73884e+04
9621  ;-3,16383  ;4,73004  ;0  ;-8,73949e+04
11306  ;-5,27151  ;6,93802  ;0  ;-8,74032e+04
7008  ;-4,72586  ;6,93819  ;0  ;-8,74069e+04
636  ;-2,68797  ;5,53667  ;0  ;-8,74083e+04
9620  ;-3,16405  ;5,26777  ;0  ;-8,74109e+04
8923  ;-6,42445  ;3,16643  ;0  ;-8,74124e+04
10750  ;-6,83691  ;3,58321  ;0  ;-8,74127e+04
631  ;-4,45172  ;7,34049  ;0  ;-8,74249e+04
8604  ;-6,41575  ;6,83195  ;0  ;-8,74281e+04
11124  ;-4,07168  ;3,16946  ;0  ;-8,74368e+04
8922  ;-5,93081  ;3,17314  ;0  ;-8,74381e+04
7217  ;-6,82242  ;4,07039  ;0  ;-8,74411e+04
10537  ;-3,18763  ;4,06974  ;0  ;-8,74518e+04
1752  ;-3,18913  ;5,92752  ;0  ;-8,74569e+04
8603  ;-6,83147  ;6,42363  ;0  ;-8,74656e+04
9253  ;-6,82051  ;5,93124  ;0  ;-8,74665e+04
626  ;-7,33049  ;5,55025  ;0  ;-8,74681e+04
7010  ;-4,07101  ;6,82943  ;0  ;-8,74687e+04
632  ;-5,54302  ;7,34014  ;0  ;-8,74755e+04
11133  ;-5,92677  ;6,82618  ;0  ;-8,74767e+04
635  ;-2,68754  ;4,4612  ;0  ;-8,74808e+04
627  ;-7,33101  ;4,45525  ;0  ;-8,74825e+04
8341  ;-2,68775  ;4,99893  ;0  ;-8,75128e+04
1750  ;-2,66821  ;6,02834  ;0  ;-8,75331e+04
11123  ;-3,57718  ;3,15875  ;0  ;-8,75439e+04
10287  ;-3,1681  ;3,57932  ;0  ;-8,75458e+04
7084  ;-7,34145  ;6,04265  ;0  ;-8,75477e+04
10971  ;-6,032  ;7,3459  ;0  ;-8,75609e+04
8369  ;-3,96114  ;2,64992  ;0  ;-8,75676e+04
7419  ;-5,77389  ;2,1964  ;0  ;-8,75714e+04
1751  ;-3,16937  ;6,41919  ;0  ;-8,75736e+04
8652  ;-3,95828  ;7,34662  ;0  ;-8,75752e+04
9449  ;-2,66801  ;3,97078  ;0  ;-8,75757e+04
6269  ;-3,57757  ;6,83557  ;0  ;-8,75796e+04
10923  ;-5,00171  ;2,66069  ;0  ;-8,75846e+04
8921  ;-6,04143  ;2,65404  ;0  ;-8,75948e+04
621  ;-4,45564  ;2,66063  ;0  ;-8,76039e+04
625  ;-7,35242  ;6,53504  ;0  ;-8,76090e+04
10749  ;-7,3455  ;3,96806  ;0  ;-8,76091e+04
628  ;-7,36  ;3,48087  ;0  ;-8,76480e+04
7418  ;-5,27389  ;2,1964  ;0  ;-8,76576e+04
622  ;-3,46664  ;2,63921  ;0  ;-8,76633e+04
637  ;-2,64845  ;6,52001  ;0  ;-8,76757e+04
630  ;-3,46485  ;7,35276  ;0  ;-8,77217e+04
633  ;-6,52097  ;7,35166  ;0  ;-8,77231e+04
10753  ;-6,94753  ;3,0641  ;0  ;-8,77307e+04
7251  ;-4,99737  ;7,34031  ;0  ;-8,77308e+04
634  ;-2,64848  ;3,48036  ;0  ;-8,77365e+04
7978  ;-7,33075  ;5,00275  ;0  ;-8,77400e+04
619  ;-6,53507  ;2,64733  ;0  ;-8,77404e+04
7955  ;-6,9367  ;6,94335  ;0  ;-8,77444e+04
11174  ;-3,05756  ;3,05978  ;0  ;-8,77523e+04
5762  ;-3,05665  ;6,93638  ;0  ;-8,77564e+04
597  ;-1,73205  ;5  ;0  ;-8,78125e+04
8285  ;-1,73205  ;4,5  ;0  ;-8,78322e+04
7954  ;-7,38339  ;7,00041  ;0  ;-8,78520e+04
7245  ;-7,4128  ;3,03332  ;0  ;-8,78671e+04
5967  ;-2,59134  ;6,96718  ;0  ;-8,79164e+04
8337  ;-2,99952  ;2,61249  ;0  ;-8,79501e+04
8580  ;-4,22586  ;7,80422  ;0  ;-8,79604e+04
7252  ;-4,72586  ;7,80422  ;0  ;-8,79753e+04
3199  ;-1,73205  ;5,5  ;0  ;-8,80023e+04
598  ;-1,73205  ;4  ;0  ;-8,80137e+04
7004  ;-2,21001  ;5,76833  ;0  ;-8,80717e+04
611  ;-8,26795  ;6  ;0  ;-8,80815e+04
7005  ;-2,21001  ;5,26833  ;0  ;-8,80825e+04
6275  ;-10  ;4,5  ;1,73205  ;-8,80852e+04
8287  ;-2,20979  ;4,7306  ;0  ;-8,81059e+04
8372  ;-2,59044  ;3,03306  ;0  ;-8,81268e+04
5966  ;-2,99954  ;7,38355  ;0  ;-8,81418e+04
5211  ;-7,00034  ;2,61655  ;0  ;-8,81446e+04
605  ;-4  ;8,26795  ;0  ;-8,81512e+04
10908  ;-7,79948  ;4,22763  ;0  ;-8,81630e+04
8370  ;-4,22782  ;2,19634  ;0  ;-8,81706e+04
7956  ;-6,96766  ;7,40872  ;0  ;-8,81876e+04
8368  ;-3,73332  ;2,18563  ;0  ;-8,81943e+04
10922  ;-4,72782  ;2,19634  ;0  ;-8,81991e+04
8288  ;-2,20979  ;4,2306  ;0  ;-8,82059e+04
7117  ;-7,79922  ;5,27513  ;0  ;-8,82404e+04
7083  ;-7,79922  ;5,77513  ;0  ;-8,82407e+04
23  ;0  ;0  ;4  ;-8,82541e+04
8343  ;-2,19027  ;3,74018  ;0  ;-8,82548e+04
8316  ;-6,26753  ;2,18969  ;0  ;-8,82572e+04
264  ;-10  ;10  ;4  ;-8,82671e+04
7977  ;-7,79948  ;4,72763  ;0  ;-8,82717e+04
10417  ;-6,26049  ;7,80981  ;0  ;-8,82761e+04
41  ;-10  ;0  ;4  ;-8,82850e+04
623  ;-2,53239  ;2,58577  ;0  ;-8,82855e+04
148  ;0  ;10  ;4  ;-8,82862e+04
629  ;-2,53422  ;7,41435  ;0  ;-8,82873e+04
4210  ;-4,5  ;10  ;1,73205  ;-8,82897e+04
5423  ;-2,19025  ;6,26  ;0  ;-8,82978e+04
7085  ;-7,81018  ;6,26752  ;0  ;-8,83138e+04
3518  ;-10  ;5,5  ;1,73205  ;-8,83139e+04
10198  ;-5,77151  ;7,80404  ;0  ;-8,83158e+04
