13:21; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;TXY (N/m^2)
7  ;-10  ;10  ;0  ;5,04138e+04
3764  ;-3,5  ;10  ;0  ;4,93111e+04
6208  ;-4,5  ;10  ;0  ;4,92271e+04
10681  ;-9,5  ;10  ;0  ;4,88734e+04
8577  ;-5,5  ;10  ;0  ;4,87696e+04
7159  ;-6,5  ;10  ;0  ;4,85650e+04
6990  ;-1,5  ;10  ;0  ;4,84839e+04
7682  ;-2,5  ;10  ;0  ;4,81509e+04
9845  ;-2,5  ;0  ;0  ;-4,79011e+04
10921  ;-6,5  ;0  ;0  ;-4,79132e+04
9546  ;-4,5  ;0  ;0  ;-4,83702e+04
8730  ;-5,5  ;0  ;0  ;-4,85861e+04
11212  ;-1,5  ;0  ;0  ;-4,86841e+04
10463  ;-3,5  ;0  ;0  ;-4,89321e+04
11464  ;-0,5  ;0  ;0  ;-4,95633e+04
2  ;0  ;0  ;0  ;-5,08810e+04
