13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;TYZ (N/m^2)
2  ;0  ;0  ;0  ;5,04076e+04
6959  ;0  ;5,5  ;0  ;4,94530e+04
6972  ;0  ;6,5  ;0  ;4,90470e+04
5939  ;0  ;4,5  ;0  ;4,89046e+04
8266  ;0  ;7,5  ;0  ;4,87726e+04
5757  ;0  ;8,5  ;0  ;4,87590e+04
11466  ;0  ;0,5  ;0  ;4,85311e+04
10012  ;0  ;3,5  ;0  ;4,82705e+04
9830  ;0  ;1,5  ;0  ;4,79933e+04
9397  ;-10  ;7,5  ;0  ;-4,81461e+04
10737  ;-10  ;8,5  ;0  ;-4,81860e+04
10683  ;-10  ;9,5  ;0  ;-4,83184e+04
10900  ;-10  ;6,5  ;0  ;-4,87293e+04
7124  ;-10  ;1,5  ;0  ;-4,88270e+04
10193  ;-10  ;2,5  ;0  ;-4,90627e+04
9395  ;-10  ;5,5  ;0  ;-4,90864e+04
6167  ;-10  ;4,5  ;0  ;-4,94483e+04
10643  ;-10  ;3,5  ;0  ;-4,95226e+04
7  ;-10  ;10  ;0  ;-5,00965e+04
