13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UZ (mm)
6  ;0  ;10  ;10  ;7,46122e-07
8089  ;0  ;9,5  ;10  ;7,46031e-07
3  ;0  ;0  ;10  ;7,45873e-07
11441  ;0  ;0,5  ;10  ;7,45802e-07
160  ;0  ;9  ;10  ;7,45736e-07
152  ;0  ;1  ;10  ;7,45509e-07
11318  ;0  ;8,5  ;10  ;7,45050e-07
2383  ;0  ;1,5  ;10  ;7,44855e-07
159  ;0  ;8  ;10  ;7,44135e-07
153  ;0  ;2  ;10  ;7,43962e-07
11288  ;0  ;7,5  ;10  ;7,43060e-07
9072  ;0  ;2,5  ;10  ;7,42947e-07
10532  ;0  ;8,80224  ;9,57036  ;7,42328e-07
8087  ;0  ;10  ;9,5  ;7,42295e-07
8088  ;0  ;9,5  ;9,5  ;7,42256e-07
11439  ;0  ;0  ;9,5  ;7,42102e-07
2385  ;0  ;1,2583  ;9,56538  ;7,42064e-07
5155  ;0  ;0,5  ;9,5  ;7,42031e-07
158  ;0  ;7  ;10  ;7,41949e-07
154  ;0  ;3  ;10  ;7,41909e-07
11272  ;0  ;8,30224  ;9,57036  ;7,41700e-07
2384  ;0  ;1,7583  ;9,56538  ;7,41438e-07
11290  ;0  ;6,5  ;10  ;7,41033e-07
10868  ;0  ;3,5  ;10  ;7,41004e-07
11289  ;0  ;7,7551  ;9,56391  ;7,40891e-07
5886  ;0  ;2,23537  ;9,54535  ;7,40673e-07
5580  ;0  ;0,929418  ;9,30202  ;7,40502e-07
157  ;0  ;6  ;10  ;7,40273e-07
155  ;0  ;4  ;10  ;7,40247e-07
11170  ;0  ;7,2551  ;9,56391  ;7,40134e-07
5849  ;0  ;2,73537  ;9,54535  ;7,39923e-07
6257  ;0  ;5,5  ;10  ;7,39847e-07
10863  ;0  ;4,5  ;10  ;7,39840e-07
156  ;0  ;5  ;10  ;7,39637e-07
11291  ;0  ;6,75  ;9,56699  ;7,39448e-07
9769  ;0  ;3,25  ;9,56699  ;7,39329e-07
184  ;0  ;8,60447  ;9,14073  ;7,39294e-07
10531  ;0  ;9,30224  ;9,07036  ;7,39274e-07
177  ;0  ;1,5166  ;9,13076  ;7,38986e-07
143  ;0  ;10  ;9  ;7,38907e-07
11321  ;0  ;8,05734  ;9,13427  ;7,38846e-07
11292  ;0  ;6,25  ;9,56699  ;7,38807e-07
9326  ;0  ;3,75  ;9,56699  ;7,38734e-07
18  ;0  ;0  ;9  ;7,38681e-07
