13:36; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 10
Unidades: N/m^2
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;SX (N/m^2)
26  ;0  ;0  ;1  ;1,33100e+06
44  ;-10  ;0  ;1  ;1,28609e+06
151  ;0  ;10  ;1  ;1,25150e+06
267  ;-10  ;10  ;1  ;1,24412e+06
291  ;-8,48424  ;10  ;0,869364  ;7,63734e+05
290  ;-6,5  ;10  ;0,866025  ;6,89341e+05
288  ;-5,5  ;10  ;0,866025  ;6,77725e+05
49  ;-4,5  ;0  ;0,866025  ;6,55596e+05
74  ;-6,5  ;0  ;0,866025  ;6,34585e+05
284  ;-1,51671  ;10  ;0,86941  ;6,27831e+05
53  ;-7,5  ;0  ;0,866025  ;5,88779e+05
287  ;-4,5  ;10  ;0,866025  ;5,81993e+05
57  ;-3,5  ;0  ;0,866025  ;5,60592e+05
59  ;-1,39548  ;0  ;0,85933  ;5,46155e+05
58  ;-2,4898  ;0  ;0,872178  ;5,39700e+05
286  ;-3,5  ;10  ;0,866025  ;5,37435e+05
285  ;-2,47125  ;10  ;0,909964  ;5,18261e+05
282  ;-7,52923  ;10  ;0,909966  ;5,08874e+05
7679  ;-0,378856  ;9,6301  ;0,8892  ;5,04342e+05
61  ;-8,47037  ;0  ;0,844334  ;4,87178e+05
2277  ;-9,64601  ;0,417622  ;0,866678  ;3,98499e+05
6223  ;-2,98562  ;10  ;0,887995  ;3,86510e+05
5846  ;-8,79407  ;0  ;1,11732  ;3,82063e+05
9838  ;-0,697738  ;0  ;0,929665  ;3,76726e+05
55  ;-5,5  ;0  ;0,866025  ;3,75084e+05
3655  ;-4  ;10  ;0,866025  ;3,67586e+05
6229  ;-1,18799  ;10  ;1,13247  ;3,67320e+05
6485  ;-9,57043  ;10  ;1,19783  ;3,64341e+05
9520  ;-0,434674  ;0  ;1,25845  ;3,42903e+05
3505  ;-1,99398  ;10  ;0,889687  ;3,36809e+05
5487  ;-9,55888  ;0  ;1,19515  ;3,28191e+05
10480  ;-4,25  ;0  ;1,29904  ;3,18016e+05
7676  ;-0,429637  ;10  ;1,19776  ;3,15454e+05
11126  ;-4  ;0  ;0,866025  ;2,95180e+05
6487  ;-10  ;9,57036  ;1,19776  ;2,73251e+05
2427  ;-5,75  ;10  ;1,29904  ;2,62392e+05
6241  ;-3,75  ;10  ;1,29904  ;2,54244e+05
10311  ;-8,81256  ;10  ;1,13251  ;2,48463e+05
6054  ;-6,76434  ;10  ;1,30246  ;2,47164e+05
3649  ;-1,13241  ;0  ;1,18812  ;2,43124e+05
4209  ;-4,25  ;10  ;1,29904  ;2,38298e+05
10653  ;-3,75  ;0  ;1,29904  ;2,30587e+05
6484  ;-10  ;10  ;1,5  ;2,13142e+05
6059  ;-5,25  ;10  ;1,29904  ;2,06645e+05
6921  ;-5,7521  ;4,99108  ;10  ;2,05399e+05
561  ;-5,14457  ;4,98301  ;10  ;2,03999e+05
10663  ;-4,39925  ;4,97532  ;10  ;2,03399e+05
9012  ;-4,77756  ;4,67826  ;10  ;2,03119e+05
7269  ;-4,76626  ;5,28007  ;10  ;2,02999e+05
6922  ;-5,36714  ;4,62068  ;10  ;2,01964e+05
7270  ;-5,35756  ;5,35594  ;10  ;2,01431e+05
7271  ;-4,97926  ;5,653  ;10  ;1,99599e+05
6520  ;-5,00013  ;4,31593  ;10  ;1,99364e+05
8519  ;-3,95217  ;5,28517  ;10  ;1,98911e+05
10662  ;-3,96346  ;4,68336  ;10  ;1,98302e+05
6923  ;-5,97466  ;4,62874  ;10  ;1,97565e+05
8570  ;-5,96509  ;5,364  ;10  ;1,97565e+05
553  ;-6,35962  ;4,99914  ;10  ;1,96831e+05
559  ;-4,38796  ;5,57713  ;10  ;1,96696e+05
45  ;-9,11776  ;0  ;1,3903  ;1,96348e+05
558  ;-4,41055  ;4,37351  ;10  ;1,96178e+05
9523  ;0  ;0,429637  ;1,19776  ;1,95397e+05
555  ;-3,51637  ;4,99321  ;10  ;1,95036e+05
9655  ;-8,73722  ;9,74703  ;0,869387  ;1,93561e+05
557  ;-5,5897  ;4,25835  ;10  ;1,92479e+05
560  ;-5,57055  ;5,72886  ;10  ;1,92285e+05
9203  ;-6,83588  ;5,26887  ;10  ;1,88696e+05
8002  ;-6,83596  ;4,73115  ;10  ;1,87948e+05
11239  ;-3,09265  ;4,72301  ;10  ;1,87868e+05
8003  ;-6,33634  ;4,33918  ;10  ;1,87710e+05
9202  ;-6,33444  ;5,65902  ;10  ;1,87696e+05
4810  ;-3,09296  ;5,27033  ;10  ;1,87642e+05
10671  ;-3,60145  ;4,33902  ;10  ;1,87440e+05
8518  ;-3,60266  ;5,65246  ;10  ;1,87409e+05
8249  ;-4,03846  ;5,94442  ;10  ;1,84071e+05
7737  ;-4,69109  ;6,04773  ;10  ;1,83440e+05
7526  ;-4,04854  ;4,02917  ;10  ;1,83291e+05
6521  ;-4,70477  ;3,92344  ;10  ;1,82994e+05
10380  ;-7,31223  ;5,00088  ;10  ;1,82187e+05
60  ;-0,869348  ;0  ;1,5169  ;1,82003e+05
11240  ;-2,66924  ;5,00013  ;10  ;1,81928e+05
8155  ;-5,95139  ;3,96878  ;10  ;1,81694e+05
10929  ;-6,25  ;0  ;1,29904  ;1,81149e+05
9162  ;-5,93991  ;6,02388  ;10  ;1,81118e+05
8261  ;-5,28239  ;6,1236  ;10  ;1,80753e+05
6519  ;-5,29435  ;3,86586  ;10  ;1,80721e+05
546  ;-7,31214  ;5,53859  ;10  ;1,76551e+05
536  ;-2,66892  ;4,45281  ;10  ;1,76377e+05
538  ;-2,66955  ;5,54745  ;10  ;1,76305e+05
547  ;-7,31231  ;4,46317  ;10  ;1,75088e+05
10381  ;-7,79013  ;4,73158  ;10  ;1,74753e+05
9117  ;-3,17772  ;4,06882  ;10  ;1,74112e+05
9201  ;-6,8107  ;5,92875  ;10  ;1,73961e+05
10604  ;-3,17925  ;5,92959  ;10  ;1,73591e+05
8004  ;-6,81269  ;4,07119  ;10  ;1,72844e+05
9598  ;-2,20049  ;4,72641  ;10  ;1,72364e+05
308  ;-0,859274  ;10  ;1,39553  ;1,71990e+05
2403  ;-2,2008  ;5,27373  ;10  ;1,71721e+05
10670  ;-4,837  ;4,97938  ;9,67952  ;1,71534e+05
9013  ;-5,13658  ;4,67151  ;9,6965  ;1,70761e+05
10379  ;-7,79005  ;5,2693  ;10  ;1,70688e+05
6925  ;-5,42405  ;4,96538  ;9,6628  ;1,70415e+05
10666  ;-4,45869  ;5,27644  ;9,67952  ;1,68997e+05
6821  ;-4,34159  ;6,41503  ;10  ;1,68848e+05
10665  ;-4,46998  ;4,67463  ;9,67952  ;1,68729e+05
8631  ;-5,65174  ;6,41862  ;10  ;1,68609e+05
6776  ;-5,65603  ;3,57629  ;10  ;1,68328e+05
9519  ;0  ;0  ;1,5  ;1,68313e+05
9034  ;-4,34276  ;3,5791  ;10  ;1,67988e+05
6523  ;-4,76957  ;4,36676  ;9,6965  ;1,67973e+05
10664  ;-4,0229  ;4,98448  ;9,67952  ;1,67855e+05
6924  ;-6,03157  ;4,97344  ;9,6628  ;1,66985e+05
550  ;-3,68895  ;6,31172  ;10  ;1,66451e+05
551  ;-3,68652  ;3,68483  ;10  ;1,66449e+05
508  ;-8,26795  ;5  ;10  ;1,66061e+05
6522  ;-5,35914  ;4,30918  ;9,6965  ;1,66039e+05
552  ;-6,31307  ;3,67921  ;10  ;1,65982e+05
8571  ;-5,63704  ;5,3383  ;9,6628  ;1,65185e+05
520  ;-1,73205  ;5  ;10  ;1,65175e+05
6926  ;-5,64662  ;4,60304  ;9,6628  ;1,64974e+05
9720  ;-7,79005  ;5,7693  ;10  ;1,64832e+05
